Order ID,Phone,Fandom,Type of Artwork,Price,Order Status
1,309-690-3290,XXY,Plushie of Favorite Character,$70.30,true
2,267-116-9309,His Kind of Woman,Plushie of Favorite Character,$80.14,true
3,179-526-0713,"Outlaw, The (Lope)",Drawing of Favorite Character,$67.31,true
4,392-216-3014,"Deer Hunter, The",Plushie of OC,$91.00,true
5,222-443-3255,Rage,Drawing of Favorite Character,$92.18,false
6,886-405-8570,"Yes, But... (Oui, mais...)",Drawing of an OC,$76.65,false
7,546-356-6933,Drones,Plushie of Favorite Character,$78.77,false
8,521-302-1246,Patton Oswalt: Tragedy Plus Comedy Equals Time,Drawing of Favorite Character,$92.71,false
9,414-738-8113,Children of the Night,Plushie of Favorite Character,$70.14,false
10,382-862-5936,Pacific Rim,Plushie of OC,$79.21,true
11,705-753-2893,Wait Until Dark,Drawing of an OC,$83.06,true
12,450-863-5014,You've Got Mail,Drawing of an OC,$54.48,true
13,893-732-7303,"Enemy Below, The",Drawing of Favorite Character,$90.66,false
14,665-839-3689,Open Heart,Drawing of Favorite Character,$82.30,true
15,799-942-5070,Aloha Summer,Drawing of an OC,$55.12,true
16,536-956-4767,Goofy Movies Number One,Drawing of Favorite Character,$76.21,false
17,420-508-8743,"Boys from Fengkuei, The (Feng gui lai de ren)",Drawing of Favorite Character,$92.14,true
18,939-333-0328,Westworld,Drawing of an OC,$70.64,false
19,670-984-8778,Buck,Drawing of an OC,$65.27,true
20,353-332-6236,"Liar, The (Valehtelija)",Plushie of OC,$98.62,false
21,546-936-2438,Palookaville,Drawing of an OC,$80.42,true
22,508-518-3788,"Lone Ranger, The",Plushie of Favorite Character,$76.24,true
23,405-812-3479,"Normal Heart, The",Drawing of Favorite Character,$81.06,true
24,496-419-5838,"Wings of Eagles, The",Plushie of Favorite Character,$71.16,true
25,923-747-2850,Life of Crime,Drawing of an OC,$98.15,false
26,507-581-1163,Scream,Drawing of Favorite Character,$73.72,false
27,644-878-8298,Mulan,Drawing of Favorite Character,$74.11,false
28,693-240-0201,Trouble Every Day,Plushie of OC,$89.29,true
29,358-296-7722,Tin Pan Alley,Drawing of Favorite Character,$94.23,true
30,148-184-8273,Please Don't Eat the Daisies,Plushie of OC,$73.14,true
31,872-679-5541,Dog Park,Drawing of Favorite Character,$88.49,true
32,385-929-4752,Monkeybone,Drawing of Favorite Character,$85.99,true
33,483-112-4257,Dakota,Plushie of OC,$88.59,false
34,135-317-1377,Zoom,Plushie of OC,$69.01,true
35,708-631-8299,Mysterious Island,Plushie of OC,$65.28,false
36,534-316-7733,Open Season 2,Drawing of an OC,$71.27,true
37,553-263-9185,Zipper,Plushie of OC,$82.85,true
38,694-147-6917,Cremaster 2,Plushie of OC,$83.78,false
39,222-476-6151,Repo! The Genetic Opera,Drawing of Favorite Character,$99.23,false
40,891-137-3637,Parked,Drawing of an OC,$52.63,false
41,756-494-7665,Dead Time: Kala,Drawing of Favorite Character,$72.79,false
42,263-922-3026,Sleepover,Plushie of OC,$97.66,false
